file,field,shape,dtype
data/reference/figures/convergence_v19_data.npz,iteration_2020-04-07_0,4 x 36,float64
data/reference/figures/convergence_v19_data.npz,iteration_2020-04-07_1,4 x 30,float64
data/reference/figures/convergence_v19_data.npz,iteration_2020-10-17_0,4 x 40,float64
data/reference/figures/convergence_v19_data.npz,iteration_2020-10-17_1,4 x 9,float64
data/reference/figures/convergence_v19_data.npz,iteration_2020-11-29_0,4 x 32,float64
data/reference/figures/convergence_v19_data.npz,iteration_2020-11-29_1,4 x 9,float64
data/reference/figures/convergence_v20_data.npz,iteration_2020-04-07_0,4 x 29,float64
data/reference/figures/convergence_v20_data.npz,iteration_2020-04-07_1,4 x 40,float64
data/reference/figures/convergence_v20_data.npz,iteration_2020-10-17_0,4 x 9,float64
data/reference/figures/convergence_v20_data.npz,iteration_2020-10-17_1,4 x 25,float64
data/reference/figures/convergence_v20_data.npz,iteration_2020-11-29_0,4 x 40,float64
data/reference/figures/convergence_v20_data.npz,iteration_2020-11-29_1,4 x 40,float64
data/reference/figures/dispatch_component_data.npz,time_h,48,float64
data/reference/figures/dispatch_component_data.npz,source_power_mw,7 x 48,float64
data/reference/figures/dispatch_component_data.npz,source_carbon_t_h,3 x 48,float64
data/reference/figures/dispatch_component_data.npz,industrial_power_mw,6 x 48,float64
data/reference/figures/dispatch_component_data.npz,industrial_carbon_t_h,6 x 48,float64
data/reference/figures/public_comparison_plot_data.npz,time_h,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-04-07_power_M3_bars,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-04-07_power_M3_lines,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-04-07_power_M4_bars,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-04-07_power_M4_lines,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-04-07_power_M1_bars,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-04-07_power_M1_lines,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-10-17_power_M3_bars,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-10-17_power_M3_lines,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-10-17_power_M4_bars,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-10-17_power_M4_lines,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-10-17_power_M1_bars,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-10-17_power_M1_lines,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-11-29_power_M3_bars,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-11-29_power_M3_lines,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-11-29_power_M4_bars,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-11-29_power_M4_lines,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-11-29_power_M1_bars,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-11-29_power_M1_lines,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-04-07_cost_carbon_M3_bars,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-04-07_cost_carbon_M3_lines,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-04-07_cost_carbon_M4_bars,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-04-07_cost_carbon_M4_lines,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-04-07_cost_carbon_M1_bars,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-04-07_cost_carbon_M1_lines,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-10-17_cost_carbon_M3_bars,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-10-17_cost_carbon_M3_lines,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-10-17_cost_carbon_M4_bars,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-10-17_cost_carbon_M4_lines,48,float64
data/reference/figures/public_comparison_plot_data.npz,2020-10-17_cost_carbon_M1_bars,48,float64
