date,method,operating_cost_usd,source_emissions_t,renewable_curtailment_mwh
2020-04-07,M1_constant,1912699.176602583,46541.78292587991,0.0
2020-04-07,M2_native,1911319.880378076,46246.76421880284,-3.622102617839573e-14
2020-04-07,M3_native,2003965.400756802,51735.589815317646,692.6404204393668
2020-04-07,M4_proposed,1908588.96204581,46441.76891634811,0.0
2020-10-17,M1_constant,1824997.8305645736,56190.17768443561,11.587161134288863
2020-10-17,M2_native,1835103.71500184,49759.1047013629,0.38904078152746313
2020-10-17,M3_native,1844182.23388771,54002.95804891353,149.69746051371314
2020-10-17,M4_proposed,1834403.5363874238,49842.88598635,8.246242358664915
2020-11-29,M1_constant,2610440.274317515,35802.36861598098,9281.610181980757
2020-11-29,M2_native,2495351.3365093376,35306.067028035715,8622.34146655114
2020-11-29,M3_native,2600190.8298991797,37273.81598283991,9322.443265215705
2020-11-29,M4_proposed,2418798.4142576647,34629.14831890356,8119.412020304345
